searching for articles for research phase: immunization
3|2018/06
3|2018/08
2|2018/10
2|2018/11
23|2019/01
4|2019/03
1|2019/10
4|2019/11
1942|2019/12
1298|2020/01
1182|2020/02
1220|2020/03
1399|2020/04
1523|2020/05
1435|2020/06
1749|2020/07
1584|2020/08
1623|2020/09
1609|2020/10
1471|2020/11
1533|2020/12
887|2021/01
941|2021/02
1057|2021/03
992|2021/04
1111|2021/05
1096|2021/06
1091|2021/07
1026|2021/08
417|2021/09
488|2021/10
449|2021/11
497|2021/12
377|2022/01
436|2022/02
277|2022/03
218|2022/04
30970 dates extracted
