Clinical Laboratory Techniques
19|2019/12
20|2020/01
108|2020/02
272|2020/03
934|2020/04
1291|2020/05
1296|2020/06
1312|2020/07
1393|2020/08
1151|2020/09
521|2020/10
458|2020/11
453|2020/12
517|2021/01
507|2021/02
477|2021/03
433|2021/04
405|2021/05
385|2021/06
384|2021/07
341|2021/08
338|2021/09
302|2021/10
297|2021/11
262|2021/12
243|2022/01
225|2022/02
152|2022/03
92|2022/04
14588 dates extracted
Diagnostic Imaging
8|2019/12
6|2020/01
77|2020/02
183|2020/03
457|2020/04
573|2020/05
504|2020/06
529|2020/07
447|2020/08
421|2020/09
383|2020/10
368|2020/11
314|2020/12
312|2021/01
290|2021/02
350|2021/03
295|2021/04
252|2021/05
277|2021/06
250|2021/07
219|2021/08
211|2021/09
170|2021/10
173|2021/11
175|2021/12
161|2022/01
122|2022/02
101|2022/03
46|2022/04
7674 dates extracted
Polymerase Chain Reaction
7|2019/12
11|2020/01
45|2020/02
89|2020/03
250|2020/04
291|2020/05
278|2020/06
260|2020/07
277|2020/08
237|2020/09
264|2020/10
193|2020/11
170|2020/12
189|2021/01
197|2021/02
147|2021/03
159|2021/04
141|2021/05
184|2021/06
140|2021/07
120|2021/08
134|2021/09
100|2021/10
107|2021/11
98|2021/12
69|2022/01
84|2022/02
58|2022/03
27|2022/04
4326 dates extracted
Severity of Illness Index
6|2020/01
14|2020/02
38|2020/03
143|2020/04
229|2020/05
283|2020/06
310|2020/07
339|2020/08
325|2020/09
290|2020/10
280|2020/11
252|2020/12
307|2021/01
280|2021/02
277|2021/03
223|2021/04
236|2021/05
263|2021/06
211|2021/07
189|2021/08
183|2021/09
161|2021/10
121|2021/11
111|2021/12
96|2022/01
78|2022/02
45|2022/03
22|2022/04
5312 dates extracted
COVID-19 Testing
11|2019/12
6|2020/01
50|2020/02
129|2020/03
454|2020/04
574|2020/05
616|2020/06
638|2020/07
725|2020/08
653|2020/09
750|2020/10
752|2020/11
637|2020/12
851|2021/01
852|2021/02
822|2021/03
739|2021/04
654|2021/05
646|2021/06
574|2021/07
473|2021/08
454|2021/09
459|2021/10
382|2021/11
374|2021/12
365|2022/01
304|2022/02
187|2022/03
93|2022/04
14224 dates extracted
