Antiviral Agents
4|2019/12
10|2020/01
38|2020/02
89|2020/03
244|2020/04
389|2020/05
355|2020/06
367|2020/07
384|2020/08
366|2020/09
335|2020/10
353|2020/11
326|2020/12
311|2021/01
278|2021/02
279|2021/03
270|2021/04
230|2021/05
231|2021/06
259|2021/07
217|2021/08
188|2021/09
198|2021/10
188|2021/11
161|2021/12
164|2022/01
117|2022/02
117|2022/03
87|2022/04
6555 dates extracted
Coronavirus Infections/drug therapy
4|2019/12
16|2020/01
40|2020/02
136|2020/03
468|2020/04
790|2020/05
827|2020/06
849|2020/07
858|2020/08
802|2020/09
875|2020/10
921|2020/11
984|2020/12
963|2021/01
843|2021/02
762|2021/03
723|2021/04
679|2021/05
689|2021/06
631|2021/07
605|2021/08
492|2021/09
570|2021/10
511|2021/11
442|2021/12
496|2022/01
419|2022/02
449|2022/03
301|2022/04
17145 dates extracted
Hydroxychloroquine/therapeutic use
11|2020/03
124|2020/04
161|2020/05
144|2020/06
131|2020/07
120|2020/08
97|2020/09
79|2020/10
72|2020/11
86|2020/12
74|2021/01
49|2021/02
60|2021/03
29|2021/04
35|2021/05
23|2021/06
18|2021/07
20|2021/08
10|2021/09
13|2021/10
15|2021/11
8|2021/12
10|2022/01
10|2022/02
8|2022/03
6|2022/04
1413 dates extracted
Respiration, Artificial
2|2020/01
10|2020/02
14|2020/03
110|2020/04
176|2020/05
142|2020/06
164|2020/07
160|2020/08
171|2020/09
144|2020/10
148|2020/11
145|2020/12
140|2021/01
159|2021/02
139|2021/03
118|2021/04
121|2021/05
117|2021/06
107|2021/07
70|2021/08
87|2021/09
79|2021/10
67|2021/11
64|2021/12
74|2022/01
49|2022/02
41|2022/03
24|2022/04
2842 dates extracted
Coronavirus Infections/therapy
4|2019/05
22|2019/12
124|2020/01
436|2020/02
1599|2020/03
5837|2020/04
6467|2020/05
5282|2020/06
5347|2020/07
4542|2020/08
3163|2020/09
3308|2020/10
3172|2020/11
3778|2020/12
3233|2021/01
2759|2021/02
2655|2021/03
2211|2021/04
1956|2021/05
1984|2021/06
935|2021/07
674|2021/08
626|2021/09
604|2021/10
522|2021/11
570|2021/12
525|2022/01
536|2022/02
597|2022/03
461|2022/04
63929 dates extracted
