Personal Protective Equipment
1|2020/01
14|2020/02
49|2020/03
299|2020/04
425|2020/05
381|2020/06
370|2020/07
275|2020/08
288|2020/09
249|2020/10
202|2020/11
249|2020/12
229|2021/01
193|2021/02
230|2021/03
158|2021/04
167|2021/05
149|2021/06
136|2021/07
121|2021/08
132|2021/09
117|2021/10
94|2021/11
90|2021/12
82|2022/01
83|2022/02
48|2022/03
29|2022/04
Masks
3|2020/02
12|2020/03
76|2020/04
102|2020/05
104|2020/06
95|2020/07
94|2020/08
110|2020/09
88|2020/10
80|2020/11
94|2020/12
103|2021/01
89|2021/02
110|2021/03
82|2021/04
82|2021/05
78|2021/06
82|2021/07
69|2021/08
77|2021/09
78|2021/10
56|2021/11
56|2021/12
54|2022/01
50|2022/02
31|2022/03
19|2022/04
Contact Tracing
2|2020/01
6|2020/02
23|2020/03
61|2020/04
66|2020/05
83|2020/06
53|2020/07
73|2020/08
54|2020/09
72|2020/10
59|2020/11
60|2020/12
73|2021/01
62|2021/02
69|2021/03
60|2021/04
62|2021/05
59|2021/06
36|2021/07
37|2021/08
50|2021/09
37|2021/10
27|2021/11
24|2021/12
27|2022/01
25|2022/02
16|2022/03
8|2022/04
Physical Distancing
1|2020/03
16|2020/04
46|2020/05
63|2020/06
84|2020/07
79|2020/08
105|2020/09
87|2020/10
109|2020/11
192|2020/12
162|2021/01
125|2021/02
129|2021/03
107|2021/04
118|2021/05
105|2021/06
104|2021/07
70|2021/08
49|2021/09
61|2021/10
47|2021/11
49|2021/12
35|2022/01
13|2022/02
22|2022/03
11|2022/04
Quarantine
1|2020/01
11|2020/02
46|2020/03
184|2020/04
246|2020/05
238|2020/06
250|2020/07
212|2020/08
207|2020/09
245|2020/10
191|2020/11
179|2020/12
199|2021/01
168|2021/02
184|2021/03
149|2021/04
117|2021/05
125|2021/06
120|2021/07
66|2021/08
87|2021/09
74|2021/10
67|2021/11
65|2021/12
72|2022/01
48|2022/02
48|2022/03
22|2022/04
