2|1981/01
1|2003/12
2|2005/01
8|2013/03
3|2013/04
3|2013/06
4|2013/07
3|2013/11
2|2014/03
2|2015/12
2|2016/11
3|2017/03
1|2018/03
1|2018/06
1|2018/08
1|2018/09
3|2018/10
2|2018/11
1|2018/12
9|2019/01
10|2019/02
13|2019/03
10|2019/04
16|2019/05
12|2019/06
24|2019/07
60|2019/08
68|2019/09
56|2019/10
188|2019/11
203|2019/12
760|2020/01
1389|2020/02
4064|2020/03
12295|2020/04
11096|2020/05
7121|2020/06
7825|2020/07
14036|2020/08
14238|2020/09
15341|2020/10
13841|2020/11
14064|2020/12
14429|2021/01
15150|2021/02
13838|2021/03
10281|2021/04
10248|2021/05
10482|2021/06
18013|2021/07
13498|2021/08
3620|2021/09
38526|2021/11
31431|2021/12
9938|2022/01
10669|2022/02
7860|2022/03
1543|2022/04
326310 dates extracted
