3|1981/01
1|2003/12
2|2005/01
19|2013/03
4|2013/04
4|2013/06
5|2013/07
3|2013/11
2|2014/03
2|2015/12
2|2016/11
1|2017/03
1|2018/03
1|2018/06
1|2018/08
1|2018/09
4|2018/10
2|2018/11
1|2018/12
9|2019/01
30|2019/02
33|2019/03
11|2019/04
19|2019/05
26|2019/06
26|2019/07
172|2019/08
128|2019/09
63|2019/10
373|2019/11
384|2019/12
1332|2020/01
2426|2020/02
7145|2020/03
24041|2020/04
28417|2020/05
23755|2020/06
20601|2020/07
19414|2020/08
13674|2020/09
13915|2020/10
11263|2020/11
10161|2020/12
9275|2021/01
9342|2021/02
8335|2021/03
7312|2021/04
6556|2021/05
5349|2021/06
5447|2021/07
4033|2021/08
3514|2021/09
2806|2021/10
2221|2021/11
1931|2021/12
1294|2022/01
962|2022/02
601|2022/03
188|2022/04
246643 dates extracted
