searching for articles for research phase: Combined

Retstart: 0
Retmax: 108737
2|2018/12
4|2019/01
3|2019/06
2|2019/07
321|2019/12
321|2020/01
342|2020/02
321|2020/03
382|2020/04
423|2020/05
389|2020/06
446|2020/07
440|2020/08
398|2020/09
371|2020/10
373|2020/11
390|2020/12
419|2021/01
404|2021/02
402|2021/03
377|2021/04
377|2021/05
403|2021/06
392|2021/07
303|2021/08
311|2021/09
296|2021/10
310|2021/11
269|2021/12
229|2022/01
230|2022/02
196|2022/03
154|2022/04
10000 of 108737 dates extracted (108737 total search results)
Retstart: 10000
Retmax: 108737
2|2018/12
5|2019/01
3|2019/06
2|2019/07
346|2019/12
363|2020/01
374|2020/02
356|2020/03
420|2020/04
456|2020/05
436|2020/06
507|2020/07
485|2020/08
438|2020/09
414|2020/10
418|2020/11
423|2020/12
464|2021/01
440|2021/02
450|2021/03
427|2021/04
409|2021/05
428|2021/06
438|2021/07
328|2021/08
339|2021/09
327|2021/10
346|2021/11
156|2021/12
20000 of 108737 dates extracted (108737 total search results)
Retstart: 20000
Retmax: 108737
2|2018/12
5|2019/01
3|2019/06
2|2019/07
386|2019/12
410|2020/01
424|2020/02
386|2020/03
471|2020/04
514|2020/05
487|2020/06
554|2020/07
536|2020/08
489|2020/09
470|2020/10
462|2020/11
464|2020/12
519|2021/01
492|2021/02
502|2021/03
475|2021/04
459|2021/05
463|2021/06
484|2021/07
365|2021/08
176|2021/09
30000 of 108737 dates extracted (108737 total search results)
Retstart: 30000
Retmax: 108737
2|2018/12
5|2019/01
3|2019/06
2|2019/07
435|2019/12
458|2020/01
476|2020/02
432|2020/03
520|2020/04
581|2020/05
543|2020/06
626|2020/07
596|2020/08
564|2020/09
540|2020/10
538|2020/11
514|2020/12
577|2021/01
558|2021/02
568|2021/03
542|2021/04
526|2021/05
394|2021/06
40000 of 108737 dates extracted (108737 total search results)
Retstart: 40000
Retmax: 108737
2|2018/12
5|2019/01
3|2019/06
2|2019/07
498|2019/12
523|2020/01
548|2020/02
493|2020/03
594|2020/04
678|2020/05
621|2020/06
732|2020/07
673|2020/08
650|2020/09
624|2020/10
627|2020/11
605|2020/12
674|2021/01
634|2021/02
649|2021/03
165|2021/04
50000 of 108737 dates extracted (108737 total search results)
Retstart: 50000
Retmax: 108737
2|2018/12
5|2019/01
1|2019/02
2|2019/04
4|2019/06
2|2019/07
590|2019/12
608|2020/01
640|2020/02
587|2020/03
698|2020/04
793|2020/05
741|2020/06
860|2020/07
783|2020/08
787|2020/09
749|2020/10
727|2020/11
712|2020/12
709|2021/01
60000 of 108737 dates extracted (108737 total search results)
Retstart: 60000
Retmax: 108737
2|2018/12
6|2019/01
1|2019/02
1|2019/03
2|2019/04
4|2019/06
2|2019/07
1|2019/10
1|2019/11
711|2019/12
739|2020/01
764|2020/02
727|2020/03
842|2020/04
950|2020/05
907|2020/06
1030|2020/07
919|2020/08
953|2020/09
913|2020/10
525|2020/11
70000 of 108737 dates extracted (108737 total search results)
Retstart: 70000
Retmax: 108737
1|2018/09
3|2018/12
8|2019/01
1|2019/03
1|2019/04
4|2019/06
3|2019/07
2|2019/10
951|2019/12
1022|2020/01
899|2020/02
873|2020/03
1033|2020/04
1162|2020/05
1148|2020/06
1226|2020/07
1264|2020/08
399|2020/09
80000 of 108737 dates extracted (108737 total search results)
Retstart: 80000
Retmax: 108737
1|2018/09
3|2018/12
8|2019/01
1|2019/02
1|2019/03
1|2019/04
5|2019/06
3|2019/07
1|2019/09
3|2019/10
1281|2019/12
1357|2020/01
1241|2020/02
1191|2020/03
1378|2020/04
1584|2020/05
1561|2020/06
380|2020/07
90000 of 108737 dates extracted (108737 total search results)
Retstart: 90000
Retmax: 108737
1|2018/09
3|2018/12
13|2019/01
1|2019/02
1|2019/03
1|2019/04
5|2019/06
3|2019/07
1|2019/09
3|2019/10
1912|2019/12
2054|2020/01
1948|2020/02
1867|2020/03
2155|2020/04
32|2020/05
100000 of 108737 dates extracted (108737 total search results)
Retstart: 100000
Retmax: 108737
1|2018/09
2|2018/10
1|2018/11
4|2018/12
21|2019/01
2|2019/02
3|2019/03
4|2019/04
1|2019/05
7|2019/06
4|2019/07
1|2019/09
5|2019/10
1|2019/11
3616|2019/12
3684|2020/01
1380|2020/02
108737 of 108737 dates extracted (108737 total search results)
